rid,method,duration,wid,batch,order,log_duration,norm_time
683046185830,Rating,186,A107RJSS561Y7R,red,1.0,5.225746673713202,9019434.367499955
85799648056,Ranking,183,A110ICG2VQUGXS,green,1.0,5.209486152841421,8124574.7016415885
158281811256,Rating,137,A110KENBXU7SUJ,green,1.0,4.919980925828125,4651434.154599782
150148628698,Rating,374,A11YS0T8MV3Q7C,blue,1.0,5.924255797414532,34906400.86074953
47942251241,Ranking,158,A12HWPFXQPITHD,red,1.0,5.062595033026967,6545124.390513762
49332760719,Ranking,157,A12R2U6TBB3OOG,green,1.0,5.056245805348308,7541378.90953708
58388134534,Ranking,191,A132MSWBBVTOES,green,1.0,5.25227342804663,8257176.84460501
44657825701,Ranking,301,A13FTIHWW9GE8X,green,1.0,5.707110264748875,21890384.356934275
211885713576,Rating,242,A13GUTDMGGZZDL,red,1.0,5.488937726156687,14614790.67180168
680244454229,Rating,157,A13V36GAF69NYE,blue,1.0,5.056245805348308,6151218.7567317765
119309254968,Rating,195,A13WTEQ06V3B6D,red,1.0,5.272999558563747,9489232.554047888
948095247335,Rating,211,A13XMRE3EKZ715,blue,1.0,5.351858133476067,11110325.379060233
95038703819,Ranking,248,A14LXHJAWRQWR6,green,1.0,5.5134287461649825,14444675.514702762
91225263345,Ranking,313,A150MDVC0C92OT,red,1.0,5.746203190540153,27980571.297563557
10539678160,Ranking,332,A15LPXZLC6NUHT,green,1.0,5.805134968916488,28403220.58827787
41064146072,Ranking,310,A16335MOISDG1F,red,1.0,5.736572297479192,25195740.022767738
19402821450,Ranking,304,A173A97OFDAX9F,blue,1.0,5.717027701406222,19756043.298241235
89135502146,Ranking,172,A182N7RLXGSCZG,blue,1.0,5.147494476813453,7756407.6257394375
45066164783,Ranking,172,A18HAAGXN14547,green,1.0,5.147494476813453,7282507.520383286
635175562696,Rating,448,A19FWZXTGX663T,blue,1.0,6.104793232414985,50086178.31762322
26526764696,Ranking,240,A1A46CKE3F5JAJ,blue,1.0,5.480638923341991,15101713.062553832
87550955025,Ranking,198,A1AIMKA54UBYIQ,red,1.0,5.288267030694535,10200438.033991385
68447514881,Ranking,375,A1ARYQXUB85OAY,red,1.0,5.926926025970411,35420604.01613445
