StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,259 - personal_1,259 - personal_2,259 - personal_3,259 - user query,259 - rating_12,259 - rating_13,259 - rating_14,259 - rating_15,259 - rating_16,259 - rating_17,266 - personal_1,266 - personal_2,266 - personal_3,266 - user query,266 - rating_1,266 - rating_2,266 - rating_3,266 - rating_4,266 - rating_5,266 - rating_12,223 - personal_1,223 - personal_2,223 - personal_3,223 - user query,223 - rating_12,223 - rating_13,223 - rating_14,223 - rating_15,223 - rating_16,223 - rating_17,286 - personal_1,286 - personal_2,286 - personal_3,286 - user query,286 - rating_1,286 - rating_2,286 - rating_3,286 - rating_4,286 - rating_5,286 - rating_12,Random ID,mistakes
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Please read the backstory carefully and answer the following questions.
Backstory:Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them? - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them? - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them? - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - carpenter bee removal","Backstory:

Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - how to remove carpenter bee","Backstory:

Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - bee removal","Backstory:

Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - pest control","Backstory:

Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - hotline for bee control","Backstory:

Oh no, you just noticed that there are carpenter bees flying in and out of a hole in the siding of your house. There may be an infestation, and you have heard they can do a lot of damage. How can you remove them?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - carpet damage","Please read the backstory carefully and answer the following questions.
Backstory:A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - heart attack","Backstory:

A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - heart and stroke foundation","Backstory:

A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - what to do to prevent a heart attack","Backstory:

A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - heart attack first steps","Backstory:

A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - heart attack symptom list","Backstory:

A friend was recently hospitalized after a heart attack. You think you should be better prepared, for both you and your partner, so you'd like to know the symptoms of a heart attack in both men and women.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - hospital attack","Please read the backstory carefully and answer the following questions.
Backstory:You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - usda food pyramid","Backstory:

You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - food pyramid","Backstory:

You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - food pyramid from usda","Backstory:

You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - usda nutrition guidelines","Backstory:

You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - healthy food pyramid diet","Backstory:

You've recently been binging on junk food, and want to live a healthier life. As a starting point, you decide to check information from the USDA. Find a description of their food pyramid.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - egypt pyramid","Please read the backstory carefully and answer the following questions.
Backstory:Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - schizophrenia drug treatment","Backstory:

Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - schizophrenia medication","Backstory:

Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - schizophrenia","Backstory:

Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - common drug therapy for schizophrenia","Backstory:

Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - drug treatment schizophrenia","Backstory:

Last night you saw an intriguing psycho-thriller on TV, where one of the characters was diagnosed with schizophrenia. This has made you wonder, what drugs are commonly used to treat the different stages of this mental illness? 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - psycho killer",Random ID,mistakes
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_12""}","{""ImportId"":""QID29_13""}","{""ImportId"":""QID29_14""}","{""ImportId"":""QID29_15""}","{""ImportId"":""QID29_16""}","{""ImportId"":""QID29_17""}","{""ImportId"":""QID30_9""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_12""}","{""ImportId"":""QID33_9""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_12""}","{""ImportId"":""QID35_13""}","{""ImportId"":""QID35_14""}","{""ImportId"":""QID35_15""}","{""ImportId"":""QID35_16""}","{""ImportId"":""QID35_17""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_12""}","{""ImportId"":""Random ID""}","{""ImportId"":""mistakes""}"
2022-02-09 11:58:20,2022-02-09 12:02:08,0,162.196.176.250,100,227,1,2022-02-09 12:02:08,R_1Hbqanz1MQqDtMP,,,,,34.235992431640625,-118.52349853515625,anonymous,EN,0.89999997615814208984375,,0,0,,2,2,4,Carpenter Bee Removal,4,5,3,2,2,1,4,4,5,Heart Attack Symptoms and Complications,3,3,2,3,5,1,5,5,5,USDA Food Pyramid,5,4,5,3,4,1,4,4,5,schizophrenia drug treatment,5,4,3,5,5,1,174328017933,0
2022-02-09 12:00:36,2022-02-09 12:02:57,0,98.212.187.205,100,140,1,2022-02-09 12:02:58,R_30iWEJqPr1fAhaf,,,,,42.0753936767578125,-87.82219696044921875,anonymous,EN,0.699999988079071044921875,,,,,1,1,5,remove carpenter bees,5,5,3,2,2,1,1,1,5,heart attack symptoms,3,2,3,4,5,1,1,1,5,USDA food pyramid,5,4,5,4,4,1,1,1,5,schizophrenia drugs,5,5,3,4,5,1,518663151934,0
2022-02-09 12:45:43,2022-02-09 12:48:36,0,73.247.81.157,100,172,1,2022-02-09 12:48:37,R_1ClLhNum77CB5tG,,,,,41.902496337890625,-87.67259979248046875,anonymous,EN,1,,0,0,,1,3,4,Carpenter bee removal steps,5,5,5,4,3,1,3,4,4,Heart attack symptoms men women,3,2,2,3,5,1,4,3,4,USDA Food Pyramid Levels,5,4,5,4,3,1,2,4,4,Schizophrenia drug treatment,5,4,2,4,5,1,233657101471,0
2022-02-09 13:25:19,2022-02-09 13:34:13,0,108.161.151.123,100,534,1,2022-02-09 13:34:14,R_2AZOgXPiQYMKyj9,,,,,32.653900146484375,-116.977294921875,anonymous,EN,1,,0,75,,4,4,4,How to remove carpenter bees from home,5,5,5,3,4,1,4,4,4,Signs and symptoms of a heart attack and how to prevent them,5,1,5,5,5,1,4,4,4,USDA food pyramid,5,4,5,4,4,1,4,2,4,Drugs that can be used to treat schizophrenia,5,5,4,5,5,2,359610182209,1
2022-02-09 13:47:09,2022-02-09 13:53:46,0,72.221.95.3,100,396,1,2022-02-09 13:53:46,R_307ZtiAK5LA59eX,,,,,41.5316925048828125,-72.79489898681640625,anonymous,EN,1,,0,0,,4,4,4,carpenter bee infestation removal,5,5,2,1,2,1,2,3,4,heart attack symptoms in men and women,3,2,1,2,5,1,4,1,4,USDA food pyramid,5,2,5,2,2,1,4,4,3,medications for different stages of schizophrenia,3,2,1,5,3,1,518056674930,0
2022-02-10 03:59:30,2022-02-10 04:02:20,0,104.169.163.46,100,169,1,2022-02-10 04:02:20,R_1HoFp1JdVieaAKc,,,,,35.042205810546875,-83.78299713134765625,anonymous,EN,1,,0,0,,2,3,4,how to remove carpenter bees,5,5,4,2,2,1,4,5,5,symptoms of heart attack in women,3,2,3,3,4,1,4,5,4,USDA food pyramid,5,3,5,4,3,1,4,4,4,drugs to treat schizoprenia,5,4,2,5,5,1,202855905005,0
2022-02-10 13:11:44,2022-02-10 13:15:09,0,69.245.176.179,100,204,1,2022-02-10 13:15:09,R_SZUEsGATxvYWutz,,,,,41.9459991455078125,-87.70330047607421875,anonymous,EN,0.89999997615814208984375,,,,,1,3,4,carpenter bees removal,5,4,3,3,3,1,3,4,4,heart attack symptoms men women,4,2,2,2,5,2,4,4,3,usda food pyramid,5,3,4,5,4,1,3,3,4,schizophrenia medicine treatment,5,5,3,4,5,1,944288367126,1
2022-02-10 23:03:36,2022-02-10 23:06:55,0,74.128.24.2,100,199,1,2022-02-10 23:06:56,R_1QmhLcgsmwlR36U,,,,,40.2738037109375,-81.86620330810546875,anonymous,EN,1,,0,0,,4,5,5,Carpenter bee removal,5,5,4,5,4,1,5,5,5,"Heart attack symptoms ",3,4,5,4,5,1,5,5,5,USDA food pyramid,5,4,5,5,4,1,2,5,5,Schizophrenia treatment medication,5,5,4,5,5,1,663676028372,0
2022-02-11 14:09:06,2022-02-11 14:11:33,0,76.115.1.182,100,146,1,2022-02-11 14:11:33,R_2COrjbjU3HSUHpe,,,,,45.5471954345703125,-122.64170074462890625,anonymous,EN,1,,0,5,,5,2,5,how to get rid of carpenter bees,5,5,1,1,1,1,1,1,4,heart attack prevention,1,1,5,2,3,1,5,5,5,USDA food pyramid 2022,4,3,4,5,3,1,2,2,4,common drugs to treat mental illness,4,5,2,5,4,1,823035318520,0
2022-02-14 02:40:56,2022-02-14 02:43:57,0,71.234.226.108,100,181,1,2022-02-14 02:43:58,R_24Iwx7kAh6OqR5D,,,,,42.456695556640625,-71.37470245361328125,anonymous,EN,0.89999997615814208984375,,0,0,,1,2,5,How to remove carpenter bees,4,5,3,2,3,1,1,3,5,"what are the symptoms of a heart attack in both men and women ",1,1,2,1,5,1,4,2,5,"What is the USDA food pyramid ",4,2,5,4,3,1,1,4,4,What medications are used to treat schizophrenia,5,3,2,5,5,1,609051551180,0
