StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,213 - personal_1,213 - personal_2,213 - personal_3,213 - user query,213 - rating_12,213 - rating_13,213 - rating_14,213 - rating_15,213 - rating_16,213 - rating_17,253 - personal_1,253 - personal_2,253 - personal_3,253 - user query,253 - rating_1,253 - rating_2,253 - rating_3,253 - rating_4,253 - rating_5,253 - rating_12,234 - personal_1,234 - personal_2,234 - personal_3,234 - user query,234 - rating_12,234 - rating_13,234 - rating_14,234 - rating_15,234 - rating_16,234 - rating_17,283 - personal_1,283 - personal_2,283 - personal_3,283 - user query,283 - rating_1,283 - rating_2,283 - rating_3,283 - rating_4,283 - rating_5,283 - rating_12,Random ID,mistakes
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,"Please read the backstory carefully and answer the following questions.
Backstory:Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - carpal tunnel syndrome","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - cts syndrome","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - carpal tunnel syndrome wiki","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - what is carpal tunnel syndrome","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - carpal tunnel","Backstory:

Your elderly aunt has recently complained about pain in her hands. Having recently heard of carpal tunnel syndrome, you wonder if this might be what she's suffering from, and decide to find more information on the symptoms of this syndrome.
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - carpool tunnel","Please read the backstory carefully and answer the following questions.
Backstory:A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it? - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it? - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it? - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - tooth abscess treatment","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - abscess treatment","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - treatment for tooth abscess","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - tooth pain treatment","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - treatment for jaw pain","Backstory:

A tooth at the back of your jaw is giving you a lot of pain - you think it might be an abscess. What treatments are available for it?
 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - will tooth fairy help with pain","Please read the backstory carefully and answer the following questions.
Backstory:A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - healthy food","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - healthy dark chocolate","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - dark chocolate health","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - how healthy is dark chocolate to the human body","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - health impact of dark chocolate","Backstory:

A magazine article mentioned dark chocolate as a ""healthy"" food. This has got you wondering what the health benefits of dark chocolate might actually be.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - benefits of darkness on health","Please read the backstory carefully and answer the following questions.
Backstory:You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride. - I am familiar with this topic","Please read the backstory carefully and answer the following questions.
Backstory:You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride. - This topic is interesting to me","Please read the backstory carefully and answer the following questions.
Backstory:You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride. - It should be easy to find relevant information for this topic",Write a query that you would use to search for information on this topic.,"Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - ride in pennsylvania","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - hayride in pennsylvania","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - where in pennsylvania you can go on a hayride","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - pennsylvania usa hayride","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - hayride pennsylvania","Backstory:

You are planning a holiday in Pennsylvania USA, and have always dreamed of going on a hay ride. Find out where in Pennsylvania you can go on such a ride.

 

Reminder: A good query is one that is likely to generate useful results. 



 
  
   1 star: very bad query 
   5 stars: very good query - pennsylvania high road",Random ID,mistakes
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""QID27_9""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_12""}","{""ImportId"":""QID29_13""}","{""ImportId"":""QID29_14""}","{""ImportId"":""QID29_15""}","{""ImportId"":""QID29_16""}","{""ImportId"":""QID29_17""}","{""ImportId"":""QID30_9""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_12""}","{""ImportId"":""QID33_9""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35_12""}","{""ImportId"":""QID35_13""}","{""ImportId"":""QID35_14""}","{""ImportId"":""QID35_15""}","{""ImportId"":""QID35_16""}","{""ImportId"":""QID35_17""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID38_3""}","{""ImportId"":""QID38_4""}","{""ImportId"":""QID38_5""}","{""ImportId"":""QID38_12""}","{""ImportId"":""Random ID""}","{""ImportId"":""mistakes""}"
2022-02-09 12:05:02,2022-02-09 12:06:49,0,98.212.187.205,100,106,1,2022-02-09 12:06:49,R_2WD3eNZJdyaByJM,,,,,42.0753936767578125,-87.82219696044921875,anonymous,EN,0.699999988079071044921875,,,,,1,1,5,carpal tunnel symptoms,3,2,4,2,2,1,1,1,5,tooth abscess treatments,5,4,5,2,2,1,1,1,5,health benefits of dark chocolate,1,2,2,4,3,1,1,1,5,Pennsylvania hay ride,1,5,5,3,4,1,679304572986,0
2022-02-09 12:28:45,2022-02-09 12:31:40,0,162.196.176.250,100,174,1,2022-02-09 12:31:42,R_xFuoBrWtsDoeJxf,,,,,34.235992431640625,-118.52349853515625,anonymous,EN,0.699999988079071044921875,,,,,5,5,5,carpal tunnel syndrome symptoms and treatment,3,1,2,2,2,2,3,3,4,Abscess tooth treatments,5,3,5,3,2,1,5,5,5,Dark chocolate health benefits,1,3,4,4,4,1,1,1,3,Hay rides in Pennsylvania,1,4,5,4,4,1,711289959284,1
2022-02-09 12:51:59,2022-02-09 12:54:15,0,73.247.81.157,100,135,1,2022-02-09 12:54:15,R_27264tLkSN8Dqnd,,,,,41.902496337890625,-87.67259979248046875,anonymous,EN,1,,0,0,,3,4,4,Carpal tunnel symptoms,4,4,4,4,4,1,3,4,4,Tooth abscess treatment,5,3,5,4,3,1,4,5,4,Dark chocolate health benefits,1,3,4,4,4,5,1,3,3,Pennsylvania Hay Rides,1,5,4,5,5,1,951910395454,1
2022-02-09 14:13:04,2022-02-09 14:13:31,0,73.157.41.91,8,26,0,2022-02-09 15:13:08,R_1ps6W3cM5484jNi,,,,,,,anonymous,EN,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779271625936,0
2022-02-10 04:55:48,2022-02-10 04:57:48,0,104.169.163.46,100,119,1,2022-02-10 04:57:48,R_DBGi91AqCjQNvO1,,,,,35.042205810546875,-83.78299713134765625,anonymous,EN,1,,0,0,,4,4,5,carpel tunnel symptoms,4,2,4,4,4,1,3,4,4,tooth abcess treatment,5,3,5,4,3,1,4,4,5,how healthy is dark chocolate,1,4,4,5,5,1,2,3,4,hay rides in pennsylvania,2,5,5,5,5,1,116076109744,0
2022-02-10 07:42:54,2022-02-10 07:47:29,0,72.221.95.3,100,274,1,2022-02-10 07:47:30,R_2zC5ECZRLTrbSWQ,,,,,41.5316925048828125,-72.79489898681640625,anonymous,EN,1,,0,0,,5,4,5,carpal tunnel syndrome symptoms,3,1,4,4,3,1,2,4,4,back tooth abscess treatment options,5,2,5,2,2,1,3,4,4,what are the real health benefits of dark chocolate,1,3,3,5,5,1,1,3,4,"where can I go on a hayride in Pennsylvania ",1,4,5,4,3,1,569535048143,0
2022-02-10 13:16:04,2022-02-10 13:19:28,0,69.245.176.179,100,204,1,2022-02-10 13:19:28,R_269kMkXOvRj0a9p,,,,,41.9459991455078125,-87.70330047607421875,anonymous,EN,0.89999997615814208984375,,,,,2,2,4,carpal tunnel symptoms,4,2,3,3,4,2,3,3,4,tooth abscess,5,3,4,5,1,1,4,4,2,dark chocolate health benefits,1,3,5,3,3,1,4,3,3,pennsylvania hay ride,1,4,3,4,5,1,194448169227,1
2022-02-10 23:07:22,2022-02-10 23:10:48,0,74.128.24.2,100,205,1,2022-02-10 23:10:48,R_1PRbcQWEER57zXv,,,,,40.2738037109375,-81.86620330810546875,anonymous,EN,1,,0,0,,4,4,5,Carpel Tunnel Syndrome symptoms,4,4,5,4,4,1,5,2,5,tooth pain abscess treatments,5,5,5,5,3,1,4,2,5,Health benefits dark chocolate,1,1,2,5,5,1,5,2,5,"Seasonal hay ride locations Pennsylvania ",1,5,5,5,4,1,867447125213,0
