rid,topic,statement,rate,agreement_text
12404386894,213,I am familiar with this topic,4.0,Somewhat agree
12404386894,213,This topic is interesting to me,3.0,Neither agree nor disagree
12404386894,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
12404386894,253,I am familiar with this topic,5.0,Strongly agree
12404386894,253,This topic is interesting to me,2.0,Somewhat disagree
12404386894,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
12404386894,234,I am familiar with this topic,4.0,Somewhat agree
12404386894,234,This topic is interesting to me,5.0,Strongly agree
12404386894,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
12404386894,283,I am familiar with this topic,1.0,Strongly disagree
12404386894,283,This topic is interesting to me,2.0,Somewhat disagree
12404386894,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
12734195590,213,I am familiar with this topic,5.0,Strongly agree
12734195590,213,This topic is interesting to me,3.0,Neither agree nor disagree
12734195590,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
12734195590,253,I am familiar with this topic,1.0,Strongly disagree
12734195590,253,This topic is interesting to me,1.0,Strongly disagree
12734195590,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
12734195590,234,I am familiar with this topic,1.0,Strongly disagree
12734195590,234,This topic is interesting to me,1.0,Strongly disagree
12734195590,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
12734195590,283,I am familiar with this topic,1.0,Strongly disagree
12734195590,283,This topic is interesting to me,1.0,Strongly disagree
12734195590,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
13250011561,213,I am familiar with this topic,2.0,Somewhat disagree
13250011561,213,This topic is interesting to me,4.0,Somewhat agree
13250011561,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
13250011561,253,I am familiar with this topic,4.0,Somewhat agree
13250011561,253,This topic is interesting to me,3.0,Neither agree nor disagree
13250011561,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
13250011561,234,I am familiar with this topic,4.0,Somewhat agree
13250011561,234,This topic is interesting to me,3.0,Neither agree nor disagree
13250011561,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
13250011561,283,I am familiar with this topic,4.0,Somewhat agree
13250011561,283,This topic is interesting to me,2.0,Somewhat disagree
13250011561,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
14107062271,213,I am familiar with this topic,5.0,Strongly agree
14107062271,213,This topic is interesting to me,5.0,Strongly agree
14107062271,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
14107062271,253,I am familiar with this topic,5.0,Strongly agree
14107062271,253,This topic is interesting to me,5.0,Strongly agree
14107062271,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
14107062271,234,I am familiar with this topic,4.0,Somewhat agree
14107062271,234,This topic is interesting to me,5.0,Strongly agree
14107062271,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
14107062271,283,I am familiar with this topic,4.0,Somewhat agree
14107062271,283,This topic is interesting to me,3.0,Neither agree nor disagree
14107062271,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
17248459875,213,I am familiar with this topic,4.0,Somewhat agree
17248459875,213,This topic is interesting to me,4.0,Somewhat agree
17248459875,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
17248459875,253,I am familiar with this topic,4.0,Somewhat agree
17248459875,253,This topic is interesting to me,5.0,Strongly agree
17248459875,253,It should be easy to find relevant information for this topic,4.0,Somewhat agree
17248459875,234,I am familiar with this topic,4.0,Somewhat agree
17248459875,234,This topic is interesting to me,4.0,Somewhat agree
17248459875,234,It should be easy to find relevant information for this topic,4.0,Somewhat agree
17248459875,283,I am familiar with this topic,4.0,Somewhat agree
17248459875,283,This topic is interesting to me,4.0,Somewhat agree
17248459875,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
20487957848,213,I am familiar with this topic,3.0,Neither agree nor disagree
20487957848,213,This topic is interesting to me,3.0,Neither agree nor disagree
20487957848,213,It should be easy to find relevant information for this topic,4.0,Somewhat agree
20487957848,253,I am familiar with this topic,4.0,Somewhat agree
20487957848,253,This topic is interesting to me,4.0,Somewhat agree
20487957848,253,It should be easy to find relevant information for this topic,3.0,Neither agree nor disagree
20487957848,234,I am familiar with this topic,4.0,Somewhat agree
20487957848,234,This topic is interesting to me,5.0,Strongly agree
20487957848,234,It should be easy to find relevant information for this topic,5.0,Strongly agree
20487957848,283,I am familiar with this topic,3.0,Neither agree nor disagree
20487957848,283,This topic is interesting to me,4.0,Somewhat agree
20487957848,283,It should be easy to find relevant information for this topic,4.0,Somewhat agree
21415754272,213,I am familiar with this topic,5.0,Strongly agree
21415754272,213,This topic is interesting to me,4.0,Somewhat agree
21415754272,213,It should be easy to find relevant information for this topic,5.0,Strongly agree
21415754272,253,I am familiar with this topic,5.0,Strongly agree
21415754272,253,This topic is interesting to me,4.0,Somewhat agree
21415754272,253,It should be easy to find relevant information for this topic,5.0,Strongly agree
