,topic,query,rank,wid,batch,duration,EndDate,query_mean
12404386894,213,carpal tunnel syndrome,2,A39MKVROUZ1UWR,red,204,2022-02-14 14:23:14,1.9111111111111112
12734195590,213,carpal tunnel syndrome,3,A1I0DV4B4MFQCL,red,286,2022-02-14 13:59:06,1.9111111111111112
13250011561,213,carpal tunnel syndrome,1,A23BWWRR7J5XLS,red,197,2022-02-13 13:04:05,1.9111111111111112
14107062271,213,carpal tunnel syndrome,2,A1CB72B51L7TKE,red,211,2022-02-14 14:42:31,1.9111111111111112
17248459875,213,carpal tunnel syndrome,3,A12R2U6TBB3OOG,red,299,2022-02-10 01:36:09,1.9111111111111112
20487957848,213,carpal tunnel syndrome,2,APRHR60T52KR9,red,454,2022-02-14 15:15:16,1.9111111111111112
21415754272,213,carpal tunnel syndrome,1,AOOLS8280CL0Z,red,570,2022-02-14 14:33:56,1.9111111111111112
21639419868,213,carpal tunnel syndrome,1,A3UJX60MALFMW0,red,248,2022-02-13 06:07:24,1.9111111111111112
21930805312,213,carpal tunnel syndrome,1,A3F8K7ZV8AX8UR,red,157,2022-02-12 11:20:43,1.9111111111111112
22297096890,213,carpal tunnel syndrome,1,A3D8ZG1VV5FO35,red,435,2022-02-13 00:50:24,1.9111111111111112
24383332012,213,carpal tunnel syndrome,2,A2ELXYKRPPGRPB,red,133,2022-02-14 14:42:39,1.9111111111111112
24636013368,213,carpal tunnel syndrome,3,AP3TMAKHW9G4P,red,784,2022-02-10 21:21:41,1.9111111111111112
26626279910,213,carpal tunnel syndrome,2,A33QI63NVR8CUO,red,204,2022-02-14 14:32:50,1.9111111111111112
27262946246,213,carpal tunnel syndrome,1,A1E7H04DK5HXDL,red,263,2022-02-11 10:26:09,1.9111111111111112
29515010323,213,carpal tunnel syndrome,1,A1E235KE3CSO7H,red,508,2022-02-14 14:15:36,1.9111111111111112
29592458207,213,carpal tunnel syndrome,1,A1V7M45EFSZCJ1,red,260,2022-02-13 01:09:01,1.9111111111111112
36614844345,213,carpal tunnel syndrome,1,A24BRTWG07T53Z,red,549,2022-02-10 19:22:49,1.9111111111111112
36924604449,213,carpal tunnel syndrome,1,A1IL81UMEC9OJI,red,759,2022-02-14 14:56:34,1.9111111111111112
37081445700,213,carpal tunnel syndrome,3,A3S2R1NK6HZ9KP,red,183,2022-02-14 14:58:34,1.9111111111111112
39733485144,213,carpal tunnel syndrome,1,AKZ1KRMTFUPRB,red,343,2022-02-12 12:23:23,1.9111111111111112
40083393601,213,carpal tunnel syndrome,2,A2NAKIXS3DVGAA,red,120,2022-02-09 11:44:54,1.9111111111111112
40976939934,213,carpal tunnel syndrome,1,A3DCXIXXYOO8QL,red,319,2022-02-12 10:53:10,1.9111111111111112
41064146072,213,carpal tunnel syndrome,3,A16335MOISDG1F,red,310,2022-02-12 01:15:45,1.9111111111111112
41428627809,213,carpal tunnel syndrome,2,A2FE0I7W269C1C,red,343,2022-02-13 05:38:51,1.9111111111111112
42224564114,213,carpal tunnel syndrome,3,AJH2N4RI8WA6U,red,271,2022-02-14 14:23:15,1.9111111111111112
42981397919,213,carpal tunnel syndrome,3,A5T9IFDZ3W4T6,red,322,2022-02-14 15:09:01,1.9111111111111112
44042154022,213,carpal tunnel syndrome,1,A173A97OFDAX9F,red,233,2022-02-12 13:32:31,1.9111111111111112
45437107437,213,carpal tunnel syndrome,2,A110ICG2VQUGXS,red,169,2022-02-14 14:30:23,1.9111111111111112
47788836492,213,carpal tunnel syndrome,3,A3RCX3IQ8L6HHW,red,416,2022-02-14 14:36:53,1.9111111111111112
47883414346,213,carpal tunnel syndrome,2,A33LYSCQQU1YDJ,red,498,2022-02-10 01:39:18,1.9111111111111112
47942251241,213,carpal tunnel syndrome,1,A12HWPFXQPITHD,red,158,2022-02-14 14:49:00,1.9111111111111112
48006221780,213,carpal tunnel syndrome,2,A132MSWBBVTOES,red,144,2022-02-09 15:00:57,1.9111111111111112
48743136872,213,carpal tunnel syndrome,1,A1HK32MD7F0B7F,red,180,2022-02-14 14:11:12,1.9111111111111112
48775020688,213,carpal tunnel syndrome,4,AH56J7I291XL7,red,246,2022-02-14 10:15:50,1.9111111111111112
50754168720,213,carpal tunnel syndrome,3,A2M03MZWZDXKAJ,red,498,2022-02-14 14:32:44,1.9111111111111112
51903715748,213,carpal tunnel syndrome,3,AIOOOO5OXWXKM,red,350,2022-02-14 14:43:04,1.9111111111111112
52830093409,213,carpal tunnel syndrome,1,A36UD0YBRIWTVL,red,278,2022-02-09 12:11:57,1.9111111111111112
