rid,topic,query,rate,wid,batch,duration,query_mean
116076109744,213,carpal tunnel syndrome,4.0,A1DMXEJGJY02E1,red,119,4.178082191780822
119309254968,213,carpal tunnel syndrome,4.0,A13WTEQ06V3B6D,red,195,4.178082191780822
128320171358,213,carpal tunnel syndrome,5.0,A27O7H19C0WQ7T,red,194,4.178082191780822
141580570582,213,carpal tunnel syndrome,3.0,A1QEQOI98976S0,red,182,4.178082191780822
173628813400,213,carpal tunnel syndrome,4.0,A3N770LD28YDL1,red,698,4.178082191780822
184421828016,213,carpal tunnel syndrome,5.0,A110KENBXU7SUJ,red,202,4.178082191780822
189923704648,213,carpal tunnel syndrome,5.0,AZ69TBTDH7AZS,red,204,4.178082191780822
190305459895,213,carpal tunnel syndrome,5.0,A2VO8C41JJIQY9,red,216,4.178082191780822
194448169227,213,carpal tunnel syndrome,4.0,A1X1SOI48T1C6E,red,204,4.178082191780822
201123755378,213,carpal tunnel syndrome,4.0,A1Q6VY3C3CEOA0,red,580,4.178082191780822
211885713576,213,carpal tunnel syndrome,4.0,A13GUTDMGGZZDL,red,242,4.178082191780822
265427616843,213,carpal tunnel syndrome,5.0,A2A6FH0F7LD9ND,red,316,4.178082191780822
275083848834,213,carpal tunnel syndrome,4.0,A5WWHKD82I8UE,red,194,4.178082191780822
276433286000,213,carpal tunnel syndrome,5.0,A1SWV4X4PD25S1,red,184,4.178082191780822
309528383682,213,carpal tunnel syndrome,4.0,A1I8VAUT4V90YR,red,207,4.178082191780822
317757184267,213,carpal tunnel syndrome,3.0,A3RHJEMZ4EGY2U,red,420,4.178082191780822
322365612466,213,carpal tunnel syndrome,5.0,AX8NXTT8QMGHC,red,198,4.178082191780822
380028901086,213,carpal tunnel syndrome,5.0,AT0COJ1G23ZB0,red,116,4.178082191780822
381111854501,213,carpal tunnel syndrome,4.0,A1YH2I4Y2SYAXJ,red,284,4.178082191780822
382116238889,213,carpal tunnel syndrome,5.0,A2R75YFKVALBXE,red,306,4.178082191780822
418493978609,213,carpal tunnel syndrome,5.0,A1EN3FW93BSXQQ,red,134,4.178082191780822
419131372892,213,carpal tunnel syndrome,1.0,A1Q56N80RJLQ7S,red,198,4.178082191780822
432526610116,213,carpal tunnel syndrome,3.0,AGZ0KJNGENZ1J,red,295,4.178082191780822
458510000118,213,carpal tunnel syndrome,5.0,A3AJR1PM02424Y,red,192,4.178082191780822
488226930354,213,carpal tunnel syndrome,3.0,A39S4DA571UJ1Y,red,188,4.178082191780822
490424392744,213,carpal tunnel syndrome,3.0,A2OVX9UW5WANQE,red,164,4.178082191780822
493578315572,213,carpal tunnel syndrome,3.0,A2NEFRREWF33YP,red,201,4.178082191780822
505616888962,213,carpal tunnel syndrome,4.0,A314XJY8V1YL12,red,297,4.178082191780822
506562046403,213,carpal tunnel syndrome,2.0,AXY0D2AMLKE2A,red,541,4.178082191780822
569535048143,213,carpal tunnel syndrome,3.0,A23RL1X2KB6Q34,red,274,4.178082191780822
570338244223,213,carpal tunnel syndrome,5.0,A27VK38SRSSHV3,red,179,4.178082191780822
574492564378,213,carpal tunnel syndrome,4.0,A3MNL6RIME0845,red,324,4.178082191780822
585730107151,213,carpal tunnel syndrome,5.0,A2KE139TQ886T3,red,206,4.178082191780822
597752541396,213,carpal tunnel syndrome,5.0,AEQI66Y2JSY05,red,572,4.178082191780822
612159188510,213,carpal tunnel syndrome,5.0,A2S5GPVIUV8RJI,red,173,4.178082191780822
617820806615,213,carpal tunnel syndrome,4.0,AIEKCWYZTS41V,red,222,4.178082191780822
619234352558,213,carpal tunnel syndrome,4.0,A9HQ3E0F2AGVO,red,163,4.178082191780822
625604760111,213,carpal tunnel syndrome,4.0,A3TBG0S2IEBVHU,red,166,4.178082191780822
639329347037,213,carpal tunnel syndrome,4.0,A3LVLZS8S41ZD7,red,338,4.178082191780822
650935897859,213,carpal tunnel syndrome,5.0,A28AXX4NCWPH1F,red,199,4.178082191780822
669006662722,213,carpal tunnel syndrome,3.0,ALJ70B2J04YR7,red,184,4.178082191780822
676019776589,213,carpal tunnel syndrome,5.0,A34EHWOYRBL6OZ,red,219,4.178082191780822
679304572986,213,carpal tunnel syndrome,3.0,A2JP9IKRHNLRPI,red,106,4.178082191780822
683046185830,213,carpal tunnel syndrome,4.0,A107RJSS561Y7R,red,186,4.178082191780822
690392653224,213,carpal tunnel syndrome,5.0,A3APKUC67F9IMW,red,804,4.178082191780822
695835081627,213,carpal tunnel syndrome,5.0,A3G8OON0TDPN1E,red,191,4.178082191780822
711289959284,213,carpal tunnel syndrome,3.0,A3EYRDEQ7CXUMN,red,174,4.178082191780822
716514250123,213,carpal tunnel syndrome,3.0,A2FNQQTVE32XD9,red,178,4.178082191780822
751343194767,213,carpal tunnel syndrome,5.0,ADCXF6QY5T046,red,306,4.178082191780822
751472408929,213,carpal tunnel syndrome,5.0,A292TFDMNVS0TP,red,750,4.178082191780822
753089417400,213,carpal tunnel syndrome,5.0,A1G187YBG0DVMQ,red,126,4.178082191780822
755804346222,213,carpal tunnel syndrome,4.0,A2ZZW6KME1FUDU,red,273,4.178082191780822
