qid	query	topic	count
201-8939	amazon raspberry pi	201	1
201-9971	best deal raspberry pi computer	201	1
201-2961	buy raspberry pi	201	3
201-5241	buying a raspberry pi price	201	1
201-1518	cheap raspberry pi	201	1
201-9854	cost of raspberry pi	201	9
201-2611	cost of raspberry pi computing model	201	1
201-7864	cost of raspberry pi model	201	1
201-9650	cost of raspberry pi model computer	201	1
201-7980	how much a raspberry pi	201	1
201-5247	how much does a raspberry pi cost	201	4
201-7337	how much does raspberry pi cost	201	1
201-3229	how much is a raspberry pi	201	1
201-6195	how much raspberry pi	201	1
201-6816	how much raspberry pi cost	201	1
201-4939	how much raspberry pi costs	201	1
201-5692	pi cost	201	1
201-4060	price comparison for raspberry pi computer	201	1
201-8425	price of raspberry pi	201	1
201-9993	price of raspberry pi computer	201	1
201-9819	prince raspberry pi	201	1
201-2572	raspberry pi	201	8
201-1814	raspberry pi affordable computing	201	1
201-7017	raspberry pi amazon	201	1
201-3616	raspberry pi computer cost	201	2
201-5158	raspberry pi computers	201	1
201-9981	raspberry pi cost	201	27
201-5399	raspberry pi costs	201	3
201-2753	raspberry pi costs and review	201	1
201-8950	raspberry pi current prices	201	1
201-5320	raspberry pi ebay	201	1
201-7362	raspberry pi ebay price	201	1
201-7061	raspberry pi how much	201	1
201-8197	raspberry pi info and cost	201	1
201-9006	raspberry pi price	201	8
201-8025	raspberry pi price and reviews	201	1
201-8561	raspberry pi price comparison	201	1
201-1711	raspberry pi prices	201	3
201-8760	raspberry pi pricing	201	1
201-8958	raspberry pi retail cost	201	1
201-6826	raspberry pi retail price	201	1
201-5878	raspberry pi review	201	1
201-5688	raspberry pi wiki	201	1
201-6129	raspberry pie computers	201	1
201-4035	raspberry pie cost	201	1
201-9387	the actual cost of buying a raspberry pi computer	201	1
201-5858	what does a raspberry pi cost	201	1
201-5726	what is a raspberry pi and how much is it	201	1
201-3277	what is the average cost of a raspberry pi	201	1
201-1439	what is the cost of a raspberry pi	201	1
201-8792	what is the raspberry pi whats the price and what can it compare to	201	1
201-7350	whats the price raspberry pi pc	201	1
202-5247	does the uss carl vinson have a official homepage	202	1
202-6674	home page for uss carl vinson	202	1
202-5158	home page of uss carl vincent	202	1
202-2339	home page of uss carl vinson	202	2
202-2309	home page uss carl vinson	202	1
202-9993	homepage uss carl vinson	202	1
202-9410	official home page of the uss carl vinson	202	2
202-5858	official home page of uss carl vinson	202	2
202-4060	official homepage for uss carl vinson	202	1
202-8725	official page for uss carl vinson	202	1
202-5399	official page of uss carl vinson	202	3
202-9854	official site for uss carl vinson	202	1
202-9374	official uss carl vinson home page	202	1
202-1439	official web page for uss carl vinson	202	1
202-5726	official web page of uss carl vinson	202	1
202-9412	official webpage for uss carl vinson	202	1
202-9743	official website uss carl vinson	202	1
202-9387	the official homepage of the ship uss carl vinson	202	1
202-1435	uss carl vinson	202	22
202-5878	uss carl vinson home	202	1
202-8960	uss carl vinson home page	202	9
202-1518	uss carl vinson news	202	1
202-8421	uss carl vinson official	202	1
202-2572	uss carl vinson official home page	202	10
202-2611	uss carl vinson official homepage	202	3
202-9006	uss carl vinson official page	202	6
202-5136	uss carl vinson official site	202	3
202-6631	uss carl vinson official web	202	1
202-8425	uss carl vinson official web page	202	2
202-7017	uss carl vinson official webpage	202	1
202-8760	uss carl vinson official website	202	12
202-2007	uss carl vinson web	202	1
202-9981	uss carl vinson website	202	6
202-2753	uss carl vinson website info	202	1
202-2743	uss carl vinson websites	202	1
202-5688	uss carl vinson wiki	202	1
202-9627	website for uss carl vinson	202	1
202-4857	what is the homepage of the uss carl vinson	202	1
202-3229	who is uss carl vinson	202	1
202-7350	whos uss carl vinson	202	1
203-9387	a list of viewer reviews for the movie les miserables	203	1
203-7967	about les miserables	203	1
203-8344	i would like to know more about the movie wretched	203	1
203-7743	les mis movie	203	1
203-8958	les mis reviews	203	1
203-1723	les miserables	203	4
203-9147	les miserables 2012 reviews	203	1
203-1292	les miserables current tour reviews	203	1
203-3559	les miserables film review	203	2
203-6946	les miserables film reviews	203	2
203-6413	les miserables imdb	203	1
203-4010	les miserables movie	203	4
203-2264	les miserables movie review	203	7
203-4548	les miserables movie reviews	203	1
203-2564	les miserables musical	203	1
203-3467	les miserables review	203	14
203-7111	les miserables review recent	203	1
203-1756	les miserables reviews	203	26
203-3763	les miserables show review	203	1
203-5597	les miserables the movie	203	1
203-8250	movie les miserables	203	1
203-1976	movie reviews les miserables	203	2
203-9952	movie reviews for les miserables	203	1
203-5606	online reviews for the movie les miserables	203	1
203-9627	online reviews of les miserables movie	203	1
203-8792	reviews and ratings for les miserables	203	1
203-1872	reviews for les miserables	203	5
203-7823	reviews for les miserables movie	203	1
203-6129	reviews les miserables	203	2
203-9207	reviews les miserables film	203	1
203-5985	reviews of les miserables	203	1
203-4717	reviews of les miserables movie	203	1
203-9993	reviews of the movie les miserables	203	1
203-5635	reviews on les miserables	203	1
203-8725	summary of the movie les miserables	203	1
203-7317	synopsis les miserables	203	1
204-9467	beginner golf	204	1
204-6987	golf rules of the game	204	1
204-7403	golf for beginner	204	1
204-7316	golf for beginners	204	1
204-9006	golf game rules	204	2
204-1823	golf ground rules	204	1
204-6441	golf lessons	204	1
204-6283	golf playing rules	204	1
204-7506	golf rule	204	1
204-9854	golf rules	204	19
204-8950	golf rules for beginners	204	2
204-1756	golf traininginstruction	204	1
204-1388	how to learn to play golf	204	1
204-6669	how to play golf	204	10
204-6129	how to play golf the rules	204	1
204-2037	learn golf	204	1
204-1814	learn to golf for the complete idiot	204	1
204-9120	learning the game of golf and the rules	204	1
204-8250	like playing golf	204	1
204-8412	overview of golf for beginners	204	1
204-1188	pga	204	1
204-5977	pga golf game rules	204	1
204-7317	pga golf rules	204	4
204-2140	pga rules	204	2
204-2796	pga standard golf rules	204	1
204-4291	pgastandard golf	204	1
204-8147	pgastandard golf rules	204	1
204-1723	rules for golf	204	1
204-1976	rules for golf pga standard course	204	1
204-6455	rules for playing golf	204	1
204-9207	rules of golf	204	27
204-5985	rules of golf for the beginner	204	1
204-2326	rules of golfing	204	2
204-9410	rules of pga golf	204	3
204-5635	rules of playing golf	204	1
204-9993	rules of the game of golf	204	1
204-9147	standard golf rules	204	1
204-9387	the complete of rules for the game of golf according to the usga	204	1
204-2364	the rules of golf	204	1
204-8760	usga rules of golf	204	1
204-5606	what are the rules in playing golf	204	1
204-9627	what are the rules of golf	204	3
204-9035	what are the rules of golf are	204	1
204-4911	what are the rules of playing golf	204	1
205-6720	1 average usa individual gives each year in donations	205	1
205-4035	avera usa charitable donations	205	1
205-8960	average american donation yearly amount	205	1
205-8077	average american individual donations	205	1
205-8561	average american spends on charity donations	205	1
205-2992	average amount americans give each year in donations	205	1
205-6674	average amount donated to charity by americans	205	1
205-6035	average amount usa individual gives each year in donations	205	1
205-1711	average charitable donation by us citizens	205	1
205-5526	average charitable donation each individual gives each year	205	1
205-7061	average charitable donation us	205	2
205-8288	average charitable donations	205	1
205-5188	average charitable donations per adult in us	205	1
205-1870	average charitable donations us	205	1
